"","X1","X2","Freq","Time1","Time2","Match"
"1",0,0,375,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"2",1,0,534,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"3",2,0,413,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"4",3,0,196,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"5",4,0,77,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"6",5,0,21,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"7",6,0,7,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"8",7,0,1,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"9",0,1,322,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"10",1,1,487,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"11",2,1,325,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"12",3,1,172,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"13",4,1,76,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"14",5,1,25,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"15",6,1,2,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"16",7,1,1,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"17",0,2,143,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"18",1,2,233,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"19",2,2,180,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"20",3,2,81,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"21",4,2,38,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"22",5,2,4,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"23",6,2,3,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"24",7,2,2,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"25",0,3,50,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"26",1,3,63,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"27",2,3,59,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"28",3,3,14,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"29",4,3,13,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"30",5,3,7,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"31",6,3,1,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"32",7,3,0,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"33",0,4,15,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"34",1,4,26,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"35",2,4,14,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"36",3,4,7,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"37",4,4,3,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"38",5,4,1,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"39",6,4,1,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"40",7,4,0,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"41",0,5,0,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"42",1,5,4,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"43",2,5,2,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"44",3,5,0,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
"45",4,5,1,"Corinthians","Athletico-PR","Corinthians x Athletico-PR"
